               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080242,            0.041122,                   0,             0.39196,                 0.5,             0.49543,             0.14863,            0.079455,            0.027778,                   0,                 0.1,                   0,                   0
                   1,            0.082906,            0.034778,                   0,           0.0016667,                 0.5,           0.0018077,           0.0011297,            0.081386,             0.02873,                   0,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.12696,            0.037499,                   0,           0.0016667,                 0.5,           0.0018515,           0.0010174,            0.081048,            0.028654,                   0,            0.098199,          0.00019868,          0.00019868
                   3,             0.07843,            0.037799,                   0,           0.0016667,                 0.5,            0.001864,           0.0010234,            0.080394,            0.028581,                   0,            0.097297,          0.00029703,          0.00029703
                   4,            0.078024,            0.038774,                   0,           0.0016667,                 0.5,           0.0019026,          0.00087469,            0.079015,             0.02838,                   0,            0.096395,          0.00039472,          0.00039472
                   5,            0.076457,            0.038124,                   0,           0.0016667,                 0.5,           0.0019341,          0.00072897,            0.076826,            0.028209,                   0,            0.095492,          0.00049175,          0.00049175
                   6,            0.077564,            0.034397,                   0,           0.0016667,                 0.5,           0.0019388,          0.00056476,            0.074143,            0.027886,                   0,            0.094588,          0.00058812,          0.00058812
                   7,            0.078758,            0.032791,                   0,           0.0033333,                   1,            0.004442,          0.00097767,            0.072573,            0.027359,                   0,            0.093684,          0.00068383,          0.00068383
                   8,            0.078087,            0.033652,                   0,           0.0033333,                   1,            0.004442,          0.00097767,            0.072573,            0.027359,                   0,            0.092779,          0.00077888,          0.00077888
                   9,            0.073564,            0.036101,                   0,           0.0033333,                   1,           0.0043736,          0.00063601,            0.068835,            0.027409,                   0,            0.091873,          0.00087327,          0.00087327
                  10,            0.069839,            0.040718,                   0,           0.0033333,                   1,           0.0043736,          0.00063601,            0.068835,            0.027409,                   0,            0.090967,            0.000967,            0.000967
                  11,            0.069635,            0.037431,                   0,           0.0016667,                 0.5,           0.0017628,          0.00049841,            0.064173,            0.027299,                   0,             0.09006,           0.0010601,           0.0010601
                  12,            0.094279,            0.035641,                   0,           0.0016667,                 0.5,           0.0017628,          0.00049841,            0.064173,            0.027299,                   0,            0.089152,           0.0011525,           0.0011525
                  13,             0.11687,            0.040271,                   0,           0.0016667,                 0.5,           0.0018313,          0.00062135,            0.062618,            0.027207,                   0,            0.088244,           0.0012442,           0.0012442
                  14,            0.073485,            0.029815,                   0,           0.0016667,                 0.5,           0.0018313,          0.00062135,            0.062618,            0.027207,                   0,            0.087335,           0.0013353,           0.0013353
                  15,            0.067829,            0.032801,                   0,           0.0016667,                 0.5,           0.0019341,          0.00063822,            0.057175,            0.027195,                   0,            0.086426,           0.0014257,           0.0014257
                  16,            0.067481,            0.029506,                   0,           0.0016667,                 0.5,           0.0019341,          0.00063822,            0.057175,            0.027195,                   0,            0.085516,           0.0015155,           0.0015155
                  17,            0.070896,            0.030141,                   0,           0.0016667,                 0.5,           0.0035187,          0.00060382,            0.056077,            0.027188,                   0,            0.084605,           0.0016046,           0.0016046
                  18,             0.11855,            0.033572,                   0,           0.0016667,                 0.5,           0.0035187,          0.00060382,            0.056077,            0.027188,                   0,            0.083693,           0.0016931,           0.0016931
